id,strCommunication,strOperation,strData,fTime,iOffset,iNumData,bResult
0,TCP0,TX,fjnX8JLuTKVi9zQSkN6QOeMI3AdDM LfMJ6mnRT0VwbBaD9RRQ1QPs0XHzSvjrzP8aiK7GOy5c5t3ydsNNiYo20xigYkObVKQ1Ha,0.11289143562316895,1,100,
1,TCP0,RX,gkoY9KMvULWj ARTlO7RPfNJ4BeENaMgNK7noSU1WxcCbE SSR2RQt1YIATwksAQ9bjL8HPz6d6u4zetOOjZp31yjhZlPcWLR2Ib,0.17683196067810059,1,100,True
2,TCP0,TX,gkoY9KMvULWj ARTlO7RPfNJ4BeENaMgNK7noSU1WxcCbE SSR2RQt1YIATwksAQ9bjL8HPz6d6u4zetOOjZp31yjhZlPcWLR2Ib,0.19281959533691406,1,100,
3,TCP0,RX,hlpZ LNwVMXkaBSUmP8SQgOK5CfFObNhOL8opTV2XydDcFaTTS3SRu2ZJBUxltBR ckM9IQA7e7v5AfuPPk0q42zki0mQdXMS3Jc,0.2567574977874756,1,100,True
4,TCP0,TX,hlpZ LNwVMXkaBSUmP8SQgOK5CfFObNhOL8opTV2XydDcFaTTS3SRu2ZJBUxltBR ckM9IQA7e7v5AfuPPk0q42zki0mQdXMS3Jc,0.27274298667907715,1,100,
5,TCP0,RX,imq0aMOxWNYlbCTVnQ9TRhPL6DgGPcOiPM9pqUW3YzeEdGbUUT4TSv30KCVymuCSadlN JRB8f8w6BgvQQl1r53Alj1nReYNT4Kd,0.3366835117340088,1,100,True
6,TCP0,TX,imq0aMOxWNYlbCTVnQ9TRhPL6DgGPcOiPM9pqUW3YzeEdGbUUT4TSv30KCVymuCSadlN JRB8f8w6BgvQQl1r53Alj1nReYNT4Kd,0.35266804695129395,1,100,
7,TCP0,RX,jnr1bNPyXOZmcDUWoR USiQM7EhHQdPjQN qrVX4ZAfFeHcVVU5UTw41LDWznvDTbemOaKSC9g9x7ChwRRm2s64Bmk2oSfZOU5Le,0.4166088104248047,1,100,True
8,TCP0,TX,jnr1bNPyXOZmcDUWoR USiQM7EhHQdPjQN qrVX4ZAfFeHcVVU5UTw41LDWznvDTbemOaKSC9g9x7ChwRRm2s64Bmk2oSfZOU5Le,0.43259358406066895,1,100,
9,TCP0,RX,kos2cOQzYP0ndEVXpSaVTjRN8FiIReQkROarsWY50BgGfIdWWV6VUx52MEXAowEUcfnPbLTD h y8DixSSn3t75Cnl3pTg0PV6Mf,0.4965362548828125,1,100,True
