id,strCommunication,strOperation,strData,fTime,iOffset,iNumData,bResult
0,TCP0,TX,uQNARrs8yhy7KxnZHljJ8dYVhGkUCl5icZEe3 602C5 nERqH7YAh0tTmOnxwCHCUyJBOTFMLqy5EFlYWxSOvt19oR7Uk uqChwV,0.14386391639709473,1,100,
1,TCP0,RX,vROBSst9ziz8Lyo0ImkK9eZWiHlVDm6jd0Ff4a713D6aoFSrI8ZBi1uUnPoyxDIDVzKCPUGNMrz6FGmZXyTPwu2 pS8VlavrDixW,0.20780444145202637,1,100,True
2,TCP1,TX,vROBSst9ziz8Lyo0ImkK9eZWiHlVDm6jd0Ff4a713D6aoFSrI8ZBi1uUnPoyxDIDVzKCPUGNMrz6FGmZXyTPwu2 pS8VlavrDixW,0.22378945350646973,1,100,
3,TCP1,RX,wSPCTtu AjA9Mzp1JnlL f0XjImWEn7ke1Gg5b824E7bpGTsJ90Cj2vVoQpzyEJEWALDQVHONsA7GHn0YzUQxv3aqT9WmbwsEjyX,0.2870469093322754,1,100,True
4,TCP0,TX,wSPCTtu AjA9Mzp1JnlL f0XjImWEn7ke1Gg5b824E7bpGTsJ90Cj2vVoQpzyEJEWALDQVHONsA7GHn0YzUQxv3aqT9WmbwsEjyX,0.30302977561950684,1,100,
5,TCP0,RX,xTQDUuvaBkB NAq2KomMag1YkJnXFo8lf2Hh6c935F8cqHUtK 1Dk3wWpRqAzFKFXBMERWIPOtB8HIo1ZAVRyw4brU XncxtFkzY,0.3669705390930176,1,100,True
6,TCP1,TX,xTQDUuvaBkB NAq2KomMag1YkJnXFo8lf2Hh6c935F8cqHUtK 1Dk3wWpRqAzFKFXBMERWIPOtB8HIo1ZAVRyw4brU XncxtFkzY,0.38295578956604004,1,100,
7,TCP1,RX,yUREVvwbClCaOBr3LpnNbh2ZlKoYGp9mg3Ii7d 46G9drIVuLa2El4xXqSrBAGLGYCNFSXJQPuC9IJp20BWSzx5csVaYodyuGlAZ,0.4468963146209717,1,100,True
8,TCP0,TX,yUREVvwbClCaOBr3LpnNbh2ZlKoYGp9mg3Ii7d 46G9drIVuLa2El4xXqSrBAGLGYCNFSXJQPuC9IJp20BWSzx5csVaYodyuGlAZ,0.46288132667541504,1,100,
9,TCP0,RX,zVSFWwxcDmDbPCs4MqoOci30mLpZHq nh4Jj8ea57H esJWvMb3Fm5yYrTsCBHMHZDOGTYKRQvD JKq31CXTAy6dtWbZpezvHmB0,0.5268244743347168,1,100,True
10,TCP1,TX,zVSFWwxcDmDbPCs4MqoOci30mLpZHq nh4Jj8ea57H esJWvMb3Fm5yYrTsCBHMHZDOGTYKRQvD JKq31CXTAy6dtWbZpezvHmB0,0.5418074131011963,1,100,
11,TCP1,RX,AWTGXxydEnEcQDt5NrpPdj41nMq0Iraoi5Kk9fb68IaftKXwNc4Gn6zZsUtDCINI0EPHUZLSRwEaKLr42DYUBz7euXc0qfAwInC1,0.5887641906738281,1,100,True
12,TCP0,TX,AWTGXxydEnEcQDt5NrpPdj41nMq0Iraoi5Kk9fb68IaftKXwNc4Gn6zZsUtDCINI0EPHUZLSRwEaKLr42DYUBz7euXc0qfAwInC1,0.6067488193511963,1,100,
13,TCP0,RX,BXUHYyzeFoFdREu6OsqQek52oNr1Jsbpj6Ll gc79JbguLYxOd5Ho7A0tVuEDJOJ1FQIV0MTSxFbLMs53EZVCA8fvYd1rgBxJoD2,0.6527068614959717,1,100,True
14,TCP1,TX,BXUHYyzeFoFdREu6OsqQek52oNr1Jsbpj6Ll gc79JbguLYxOd5Ho7A0tVuEDJOJ1FQIV0MTSxFbLMs53EZVCA8fvYd1rgBxJoD2,0.6682350635528564,1,100,
