id,strCommunication,strOperation,strData,fTime,iOffset,iNumData,bResult
23,Serial1,RX,mWVFpU2IMbmDthZyhZ7tUHkT6y8wQZc9iwvyQvqNeBof9NOxrAP98cJNobWupBu7KtqmyWYv71pMIeBwB3HYr6hcFRUev7JmqW3k,1.3417510986328125,1,100,True
24,Serial0,TX,mWVFpU2IMbmDthZyhZ7tUHkT6y8wQZc9iwvyQvqNeBof9NOxrAP98cJNobWupBu7KtqmyWYv71pMIeBwB3HYr6hcFRUev7JmqW3k,1.357736587524414,1,100,
25,Serial0,RX,nXWGqV3JNcnEui0zi08uVIlU7z9xR0d jxwzRwrOfCpg OPysBQ 9dKOpcXvqCv8LurnzXZw82qNJfCxC4IZs7idGSVfw8KnrX4l,1.4366605281829834,1,100,True
26,Serial1,TX,nXWGqV3JNcnEui0zi08uVIlU7z9xR0d jxwzRwrOfCpg OPysBQ 9dKOpcXvqCv8LurnzXZw82qNJfCxC4IZs7idGSVfw8KnrX4l,1.451648235321045,1,100,
27,Serial1,RX,oYXHrW4KOdoFvj1Aj19vWJmV8A yS1eakyxASxsPgDqhaPQztCRa eLPqdYwrDw9MvsoAY0x93rOKgDyD5J0t8jeHTWgx9LosY5m,1.5425615310668945,1,100,True
28,Serial0,TX,oYXHrW4KOdoFvj1Aj19vWJmV8A yS1eakyxASxsPgDqhaPQztCRa eLPqdYwrDw9MvsoAY0x93rOKgDyD5J0t8jeHTWgx9LosY5m,1.5585458278656006,1,100,
29,Serial0,RX,pZYIsX5LPepGwk2Bk2 wXKnW9BazT2fblzyBTytQhEribQRAuDSbafMQreZxsEx NwtpBZ1y 4sPLhEzE6K1u9kfIUXhy MptZ6n,1.638474702835083,1,100,True
30,Serial1,TX,pZYIsX5LPepGwk2Bk2 wXKnW9BazT2fblzyBTytQhEribQRAuDSbafMQreZxsEx NwtpBZ1y 4sPLhEzE6K1u9kfIUXhy MptZ6n,1.6544570922851562,1,100,
31,Serial1,RX,q0ZJtY6MQfqHxl3Cl3axYLoX CbAU3gcmAzCUzuRiFsjcRSBvETcbgNRsf0ytFyaOxuqC02za5tQMiFAF7L2v lgJVYizaNqu07o,1.748373031616211,1,100,True
32,Serial0,TX,q0ZJtY6MQfqHxl3Cl3axYLoX CbAU3gcmAzCUzuRiFsjcRSBvETcbgNRsf0ytFyaOxuqC02za5tQMiFAF7L2v lgJVYizaNqu07o,1.7643561363220215,1,100,
33,Serial0,RX,r10KuZ7NRgrIym4Dm4byZMpYaDcBV4hdnBADVAvSjGtkdSTCwFUdchOStg1zuGzbPyvrD13Ab6uRNjGBG8M3wamhKWZjAbOrv18p,1.8582665920257568,1,100,True
34,Serial1,TX,r10KuZ7NRgrIym4Dm4byZMpYaDcBV4hdnBADVAvSjGtkdSTCwFUdchOStg1zuGzbPyvrD13Ab6uRNjGBG8M3wamhKWZjAbOrv18p,1.8742547035217285,1,100,
35,Serial1,RX,s21Lv08OShsJzn5En5cz0NqZbEdCW5ieoCBEWBwTkHuleTUDxGVediPTuh2AvHAcQzwsE24Bc7vSOkHCH9N4xbniLX0kBcPsw29q,1.9541800022125244,1,100,True
36,Serial0,TX,s21Lv08OShsJzn5En5cz0NqZbEdCW5ieoCBEWBwTkHuleTUDxGVediPTuh2AvHAcQzwsE24Bc7vSOkHCH9N4xbniLX0kBcPsw29q,1.9701621532440186,1,100,
37,Serial0,RX,t32Mw19PTitKAo6Fo6dA1Or0cFeDX6jfpDCFXCxUlIvmfUVEyHWfejQUvi3BwIBdRAxtF35Cd8wTPlIDI O5ycojMY1lCdQtx3 r,2.050091028213501,1,100,True
38,Serial1,TX,t32Mw19PTitKAo6Fo6dA1Or0cFeDX6jfpDCFXCxUlIvmfUVEyHWfejQUvi3BwIBdRAxtF35Cd8wTPlIDI O5ycojMY1lCdQtx3 r,2.066074848175049,1,100,
39,Serial1,RX,u43Nx2 QUjuLBp7Gp7eB2Ps1dGfEY7kgqEDGYDyVmJwngVWFzIXgfkRVwj4CxJCeSByuG46De9xUQmJEJaP6zdpkNZ2mDeRuy4as,2.145998477935791,1,100,True
40,Serial0,TX,u43Nx2 QUjuLBp7Gp7eB2Ps1dGfEY7kgqEDGYDyVmJwngVWFzIXgfkRVwj4CxJCeSByuG46De9xUQmJEJaP6zdpkNZ2mDeRuy4as,2.1619837284088135,1,100,
41,Serial0,RX,v54Oy3aRVkvMCq8Hq8fC3Qt2eHgFZ8lhrFEHZEzWnKxohWXGAJYhglSWxk5DyKDfTCzvH57Ef yVRnKFKbQ7AeqlO03nEfSvz5bt,2.239912986755371,1,100,True
42,Serial1,TX,v54Oy3aRVkvMCq8Hq8fC3Qt2eHgFZ8lhrFEHZEzWnKxohWXGAJYhglSWxk5DyKDfTCzvH57Ef yVRnKFKbQ7AeqlO03nEfSvz5bt,2.2559003829956055,1,100,
43,Serial1,RX,w65Pz4bSWlwNDr9Ir9gD4Ru3fIhG09misGFI0FAXoLypiXYHBKZihmTXyl6EzLEgUDAwI68FgazWSoLGLcR8BfrmP14oFgTwA6cu,2.3358216285705566,1,100,True
44,Serial0,TX,w65Pz4bSWlwNDr9Ir9gD4Ru3fIhG09misGFI0FAXoLypiXYHBKZihmTXyl6EzLEgUDAwI68FgazWSoLGLcR8BfrmP14oFgTwA6cu,2.351811170578003,1,100,
45,Serial0,RX,x76QA5cTXmxOEs Js hE5Sv4gJiH1 njtHGJ1GBYpMzqjYZICL0jinUYzm7FAMFhVEBxJ79GhbAXTpMHMdS9CgsnQ25pGhUxB7dv,2.4477176666259766,1,100,True
46,Serial1,TX,x76QA5cTXmxOEs Js hE5Sv4gJiH1 njtHGJ1GBYpMzqjYZICL0jinUYzm7FAMFhVEBxJ79GhbAXTpMHMdS9CgsnQ25pGhUxB7dv,2.463707208633423,1,100,
47,Serial1,RX,y87RB6dUYnyPFtaKtaiF6Tw5hKjI2aokuIHK2HCZqNArkZ0JDM1kjoVZAn8GBNGiWFCyK8 HicBYUqNINeT DhtoR36qHiVyC8ew,2.543633222579956,1,100,True
48,Serial0,TX,y87RB6dUYnyPFtaKtaiF6Tw5hKjI2aokuIHK2HCZqNArkZ0JDM1kjoVZAn8GBNGiWFCyK8 HicBYUqNINeT DhtoR36qHiVyC8ew,2.559619188308716,1,100,
49,Serial0,RX,z98SC7eVZozQGubLubjG7Ux6iLkJ3bplvJIL3ID0rOBsl01KEN2lkpW0Bo9HCOHjXGDzL9aIjdCZVrOJOfUaEiupS47rIjWzD9fx,2.6375434398651123,1,100,True
50,Serial1,TX,z98SC7eVZozQGubLubjG7Ux6iLkJ3bplvJIL3ID0rOBsl01KEN2lkpW0Bo9HCOHjXGDzL9aIjdCZVrOJOfUaEiupS47rIjWzD9fx,2.652529239654541,1,100,
51,Serial1,RX,A 9TD8fW0pARHvcMvckH8Vy7jMlK4cqmwKJM4JE1sPCtm12LFO3mlqX1Cp IDPIkYHEAM bJkeD0WsPKPgVbFjvqT58sJkXAE gy,2.7314562797546387,1,100,True
52,Serial0,TX,A 9TD8fW0pARHvcMvckH8Vy7jMlK4cqmwKJM4JE1sPCtm12LFO3mlqX1Cp IDPIkYHEAM bJkeD0WsPKPgVbFjvqT58sJkXAE gy,2.7474427223205566,1,100,
53,Serial0,RX,Ba UE9gX1qBSIwdNwdlI9Wz8kNmL5drnxLKN5KF2tQDun23MGP4nmrY2DqaJEQJlZIFBNacKlfE1XtQLQhWcGkwrU69tKlYBFahz,2.8273653984069824,1,100,True
54,Serial1,TX,Ba UE9gX1qBSIwdNwdlI9Wz8kNmL5drnxLKN5KF2tQDun23MGP4nmrY2DqaJEQJlZIFBNacKlfE1XtQLQhWcGkwrU69tKlYBFahz,2.8433492183685303,1,100,
55,Serial1,RX,CbaVF hY2rCTJxeOxemJ XA9lOnM6esoyMLO6LG3uREvo34NHQ5onsZ3ErbKFRKm0JGCObdLmgF2YuRMRiXdHlxsV7 uLmZCGbiA,2.9232776165008545,1,100,True
56,Serial0,TX,CbaVF hY2rCTJxeOxemJ XA9lOnM6esoyMLO6LG3uREvo34NHQ5onsZ3ErbKFRKm0JGCObdLmgF2YuRMRiXdHlxsV7 uLmZCGbiA,2.939262628555298,1,100,
57,Serial0,RX,DcbWGaiZ3sDUKyfPyfnKaYB mPoN7ftpzNMP7MH4vSFwp45OIR6pot04FscLGSLn1KHDPceMnhG3ZvSNSjYeImytW8avMn0DHcjB,3.017188310623169,1,100,True
58,Serial1,TX,DcbWGaiZ3sDUKyfPyfnKaYB mPoN7ftpzNMP7MH4vSFwp45OIR6pot04FscLGSLn1KHDPceMnhG3ZvSNSjYeImytW8avMn0DHcjB,3.033176898956299,1,100,
59,Serial1,RX,EdcXHbj04tEVLzgQzgoLbZCanQpO8guqAONQ8NI5wTGxq56PJS7qpu15GtdMHTMo2LIEQdfNoiH40wTOTkZfJnzuX9bwNo1EIdkC,3.129084825515747,1,100,True
60,Serial0,TX,EdcXHbj04tEVLzgQzgoLbZCanQpO8guqAONQ8NI5wTGxq56PJS7qpu15GtdMHTMo2LIEQdfNoiH40wTOTkZfJnzuX9bwNo1EIdkC,3.1450700759887695,1,100,
61,Serial0,RX,FedYIck15uFWMAhRAhpMc0DboRqP9hvrBPOR9OJ6xUHyr67QKT8rqv26HueNIUNp3MJFRegOpjI51xUPUl0gKoAvY cxOp2FJelD,3.2229995727539062,1,100,True
62,Serial1,TX,FedYIck15uFWMAhRAhpMc0DboRqP9hvrBPOR9OJ6xUHyr67QKT8rqv26HueNIUNp3MJFRegOpjI51xUPUl0gKoAvY cxOp2FJelD,3.238983631134033,1,100,
63,Serial1,RX,GfeZJdl26vGXNBiSBiqNd1EcpSrQ iwsCQPS PK7yVIzs78RLU9srw37IvfOJVOq4NKGSfhPqkJ62yVQVm1hLpBwZadyPq3GKfmE,3.3169100284576416,1,100,True
64,Serial0,TX,GfeZJdl26vGXNBiSBiqNd1EcpSrQ iwsCQPS PK7yVIzs78RLU9srw37IvfOJVOq4NKGSfhPqkJ62yVQVm1hLpBwZadyPq3GKfmE,3.3328936100006104,1,100,
65,Serial0,RX,Hgf0Kem37wHYOCjTCjrOe2FdqTsRajxtDRQTaQL8zWJAt89SMV tsx48JwgPKWPr5OLHTgiQrlK73zWRWn2iMqCx0bezQr4HLgnF,3.4587762355804443,1,100,True
66,Serial1,TX,Hgf0Kem37wHYOCjTCjrOe2FdqTsRajxtDRQTaQL8zWJAt89SMV tsx48JwgPKWPr5OLHTgiQrlK73zWRWn2iMqCx0bezQr4HLgnF,3.4747612476348877,1,100,
67,Serial1,RX,Ihg1Lfn48xIZPDkUDksPf3GerUtSbkyuESRUbRM9AXKBu9 TNWauty59KxhQLXQs6PMIUhjRsmL84AXSXo3jNrDy1cfARs5IMhoG,3.5546867847442627,1,100,True
68,Serial0,TX,Ihg1Lfn48xIZPDkUDksPf3GerUtSbkyuESRUbRM9AXKBu9 TNWauty59KxhQLXQs6PMIUhjRsmL84AXSXo3jNrDy1cfARs5IMhoG,3.570676326751709,1,100,
69,Serial0,RX,Jih2Mgo59yJ0QElVEltQg4HfsVuTclzvFTSVcSN BYLCv aUOXbvuz6 LyiRMYRt7QNJVikStnM95BYTYp4kOsEz2dgBSt6JNipH,3.6505982875823975,1,100,True
70,Serial1,TX,Jih2Mgo59yJ0QElVEltQg4HfsVuTclzvFTSVcSN BYLCv aUOXbvuz6 LyiRMYRt7QNJVikStnM95BYTYp4kOsEz2dgBSt6JNipH,3.6665868759155273,1,100,
71,Serial1,RX,Kji3Nhp6 zK1RFmWFmuRh5IgtWvUdmAwGUTWdTOaCZMDwabVPYcwvA7aMzjSNZSu8ROKWjlTuoN 6CZUZq5lPtFA3ehCTu7KOjqI,3.7624971866607666,1,100,True
72,Serial0,TX,Kji3Nhp6 zK1RFmWFmuRh5IgtWvUdmAwGUTWdTOaCZMDwabVPYcwvA7aMzjSNZSu8ROKWjlTuoN 6CZUZq5lPtFA3ehCTu7KOjqI,3.7784783840179443,1,100,
73,Serial0,RX,Lkj4Oiq7aAL2SGnXGnvSi6JhuXwVenBxHVUXeUPbD0NExbcWQZdxwB8bNAkTO0Tv9SPLXkmUvpOa7D0V0r6mQuGB4fiDUv8LPkrJ,3.8743889331817627,1,100,True
74,Serial1,TX,Lkj4Oiq7aAL2SGnXGnvSi6JhuXwVenBxHVUXeUPbD0NExbcWQZdxwB8bNAkTO0Tv9SPLXkmUvpOa7D0V0r6mQuGB4fiDUv8LPkrJ,3.890378475189209,1,100,
75,Serial1,RX,Mlk5Pjr8bBM3THoYHowTj7KivYxWfoCyIWVYfVQcE1OFycdXR0eyxC9cOBlUP1Uw TQMYlnVwqPb8E1W1s7nRvHC5gjEVw9MQlsK,3.9702999591827393,1,100,True
76,Serial0,TX,Mlk5Pjr8bBM3THoYHowTj7KivYxWfoCyIWVYfVQcE1OFycdXR0eyxC9cOBlUP1Uw TQMYlnVwqPb8E1W1s7nRvHC5gjEVw9MQlsK,3.9862873554229736,1,100,
77,Serial0,RX,Nml6Qks9cCN4UIpZIpxUk8LjwZyXgpDzJXWZgWRdF2PGzdeYS1fzyD dPCmVQ2VxaURNZmoWxrQc9F2X2t8oSwID6hkFWx NRmtL,4.06621241569519,1,100,True
78,Serial1,TX,Nml6Qks9cCN4UIpZIpxUk8LjwZyXgpDzJXWZgWRdF2PGzdeYS1fzyD dPCmVQ2VxaURNZmoWxrQc9F2X2t8oSwID6hkFWx NRmtL,4.08219575881958,1,100,
79,Serial1,RX,Onm7Rlt dDO5VJq0JqyVl9Mkx0zYhqEAKYX0hXSeG3QHAefZT2gAzEaeQDnWR3WybVSO0npXysRd G3Y3u9pTxJE7ilGXyaOSnuM,4.162121295928955,1,100,True
80,Serial0,TX,Onm7Rlt dDO5VJq0JqyVl9Mkx0zYhqEAKYX0hXSeG3QHAefZT2gAzEaeQDnWR3WybVSO0npXysRd G3Y3u9pTxJE7ilGXyaOSnuM,4.178110837936401,1,100,
