id,strCommunication,strOperation,strData,fTime,iOffset,iNumData,bResult
63,TCP1,RX,FBRAHEMkwE6GgDKedSxK,2.59682559967041,23,20,True
64,TCP0,TX,FBRAHEMkwE6GgDKedSxK,2.6128127574920654,23,20,
65,TCP0,RX,2YdX419HT1s3D07BAeU7,2.6767547130584717,23,20,True
66,TCP1,TX,2YdX419HT1s3D07BAeU7,2.692737579345703,23,20,
67,TCP1,RX,okAjqnv4fnPp0mtYXBgt,2.75667667388916,23,20,True
68,TCP0,TX,okAjqnv4fnPp0mtYXBgt,2.771663188934326,23,20,
69,TCP0,RX,LHXGNKSqCKbMmJQkjYDQ,2.832606077194214,23,20,True
70,TCP1,TX,LHXGNKSqCKbMmJQkjYDQ,2.84859299659729,23,20,
71,TCP1,RX,84j3 7eNZ7y9J6cHGk0c,2.9125313758850098,23,20,True
72,TCP0,TX,84j3 7eNZ7y9J6cHGk0c,2.9275193214416504,23,20,
73,TCP0,RX,uqGpwtB ltVv6sz43Hmz,2.9904592037200928,23,20,True
74,TCP1,TX,uqGpwtB ltVv6sz43Hmz,3.006443977355957,23,20,
75,TCP1,RX,RN3MTQYwIQhSsPWqp4JW,3.070300817489624,23,20,True
76,TCP0,TX,RN3MTQYwIQhSsPWqp4JW,3.0862858295440674,23,20,
77,TCP0,RX,d p9fckT5cEePbiNMq6i,3.150228500366211,23,20,True
78,TCP1,TX,d p9fckT5cEePbiNMq6i,3.1662113666534424,23,20,
79,TCP1,RX,AwMvCzHfrz1BbyF 9NsF,3.2301523685455322,23,20,True
80,TCP0,TX,AwMvCzHfrz1BbyF 9NsF,3.246138334274292,23,20,
81,TCP0,RX,XT9SZW4COWnYyV2wv P2,3.31007981300354,23,20,True
82,TCP1,TX,XT9SZW4COWnYyV2wv P2,3.3260648250579834,23,20,
83,TCP1,RX,jfveliqZaiKkVhoTSwbo,3.390002965927124,23,20,True
84,TCP0,TX,jfveliqZaiKkVhoTSwbo,3.4059882164001465,23,20,
85,TCP0,RX,GCSBIFNlxF7HhELfeTyL,3.467930555343628,23,20,True
86,TCP1,TX,GCSBIFNlxF7HhELfeTyL,3.4839155673980713,23,20,
87,TCP1,RX,3ZeY52 IU2t4E18CBfV8,3.531874418258667,23,20,True
88,TCP0,TX,3ZeY52 IU2t4E18CBfV8,3.5478599071502686,23,20,
89,TCP0,RX,plBkrow5goQq1nuZYChu,3.6117968559265137,23,20,True
90,TCP1,TX,plBkrow5goQq1nuZYChu,3.627781629562378,23,20,
91,TCP1,RX,MIYHOLTrDLcNnKRlkZER,3.6917226314544678,23,20,True
92,TCP0,TX,MIYHOLTrDLcNnKRlkZER,3.707709312438965,23,20,
93,TCP0,RX,95k4a8fO08z K7dIHl1d,3.787632942199707,23,20,True
94,TCP1,TX,95k4a8fO08z K7dIHl1d,3.8036205768585205,23,20,
95,TCP1,RX,vrHqxuCamuWw7tA54InA,3.8675625324249268,23,20,True
96,TCP0,TX,vrHqxuCamuWw7tA54InA,3.8835437297821045,23,20,
97,TCP0,RX,SO4NURZxJRiTtQXrq5KX,3.94748592376709,23,20,True
98,TCP1,TX,SO4NURZxJRiTtQXrq5KX,3.9634716510772705,23,20,
99,TCP1,RX,eaq gdlU6dFfQcjONr7j,4.027411937713623,23,20,True
100,TCP0,TX,eaq gdlU6dFfQcjONr7j,4.043396949768066,23,20,
101,TCP0,RX,BxNwDAIgsA2CczGa OtG,4.107337713241577,23,20,True
102,TCP1,TX,BxNwDAIgsA2CczGa OtG,4.12332010269165,23,20,
103,TCP1,RX,YU T0X5DPXoZzW3xwaQ3,4.2032458782196045,23,20,True
104,TCP0,TX,YU T0X5DPXoZzW3xwaQ3,4.219231367111206,23,20,
105,TCP0,RX,kgwfmjr0bjLlWipUTxcp,4.2831714153289795,23,20,True
106,TCP1,TX,kgwfmjr0bjLlWipUTxcp,4.299156427383423,23,20,
107,TCP1,RX,HDTCJGOmyG8IiFMgfUzM,4.3630969524383545,23,20,True
108,TCP0,TX,HDTCJGOmyG8IiFMgfUzM,4.379081964492798,23,20,
109,TCP0,RX,40fZ63aJV3u5F29DCgW9,4.441026926040649,23,20,True
110,TCP1,TX,40fZ63aJV3u5F29DCgW9,4.457011938095093,23,20,
111,TCP1,RX,qmClspx6hpRr2ov0ZDiv,4.520958662033081,23,20,True
112,TCP0,TX,qmClspx6hpRr2ov0ZDiv,4.535943269729614,23,20,
113,TCP0,RX,NJZIPMUsEMdOoLSml0FS,4.598892688751221,23,20,True
114,TCP1,TX,NJZIPMUsEMdOoLSml0FS,4.613878488540649,23,20,
115,TCP1,RX, 6l5b9gP19AaL8eJIm2e,4.6768200397491455,23,20,True
116,TCP0,TX, 6l5b9gP19AaL8eJIm2e,4.692806959152222,23,20,
117,TCP0,RX,wsIryvDbnvXx8uB65JoB,4.7567458152771,23,20,True
118,TCP1,TX,wsIryvDbnvXx8uB65JoB,4.772730588912964,23,20,
119,TCP1,RX,TP5OVS0yKSjUuRYsr6LY,4.8516576290130615,23,20,True
